"","",""
"","",""
"LBK 2, X2 en X4","Druk toevoerkanaal - 08-231PT01","Windheim_OS8_GRFMET_7"
"LBK 2, X2 en X4","Gew.druk toevoerkanaal - Toerenreg. toevoervent. -","Windheim_OS8_GRFSYS_18"
"LBK 2, X2 en X4","Toevoerventilator (status) - Toevoerventilator - 0","Windheim_OS8_GRFSYS_16"
"LBK 2, X2 en X4","Toerenreg. toevoervent. regelaar percentage - Toer","Windheim_OS8_GRFSYS_17"
"LBK 2, X2 en X4","Afsluiter koeler percentage - Afsluiter koeler - 0","Windheim_OS8_GRFSYS_13"
"LBK 2, X2 en X4","Afsluiter verwarmer percentage - Afsluiter verwarm","Windheim_OS8_GRFSYS_10"
"LBK 2, X2 en X4","Circ.pomp verwarmer (status) - Circ.pomp verwarmer","Windheim_OS8_GRFSYS_12"
"LBK 2, X2 en X4","Warmtewiel (status) - Warmtewiel - 08-231WW01","Windheim_OS8_GRFSYS_6"
"LBK 2, X2 en X4","Functie energieterugwinning - Warmtewiel - 08-231W","Windheim_OS8_GRFSYS_8"
"LBK 2, X2 en X4","Filter aanzuigkanaal - 08-231PDT01","Windheim_OS8_GRFMET_10"
"LBK 2, X2 en X4","Aanzuigluchttemperatuur - 08-231TE01","Windheim_OS8_GRFMET_12"
"LBK 2, X2 en X4","Afzuigluchtklep (status) - Afzuigluchtklep - 08-23","Windheim_OS8_GRFSYS_19"
"LBK 2, X2 en X4","Toevoerluchtklep (status) - Toevoerluchtklep - 08-","Windheim_OS8_GRFSYS_15"
"LBK 2, X2 en X4","PID warmtewiel als verwarmer berekende waarde - Wa","Windheim_OS8_GRFPID_1"
"LBK 2, X2 en X4","PID warmtewiel als koeler berekende waarde - Warmt","Windheim_OS8_GRFPID_2"
"","",""
"","",""
"LBK 6, plintgebouw ","Toerenreg. afzuigvent. regelaar percentage - Toere","Windheim_OS13_GRFSYS_22"
"LBK 6, plintgebouw ","Afzuigventilator (status) - Afzuigventilator - 13-","Windheim_OS13_GRFSYS_21"
"LBK 6, plintgebouw ","Filter afzuigkanaal - 13-330PDT02","Windheim_OS13_GRFMET_11"
"LBK 6, plintgebouw ","Retourluchttemperatuur - 13-330TE03","Windheim_OS13_GRFMET_14"
"LBK 6, plintgebouw ","Overwerk plintgebouw (status) - Overwerk plintgebo","Windheim_OS13_GRFSYS_2"
"LBK 6, plintgebouw ","Afzuigluchtklep (status) - Afzuigluchtklep - 13-33","Windheim_OS13_GRFSYS_20"
"LBK 6, plintgebouw ","Toevoeklep plintgebouw (status) - Toevoeklep plint","Windheim_OS12_GRFSYS_36"
"LBK 6, plintgebouw ","Afzuigklep plintgebouw (status) - Afzuigklep plint","Windheim_OS12_GRFSYS_37"
"LBK 6, plintgebouw ","Toevoerklep lobby (status) - Toevoerklep lobby - 1","Windheim_OS12_GRFSYS_38"
"LBK 6, plintgebouw ","Afzuigklep lobby (status) - Afzuigklep lobby - 12-","Windheim_OS12_GRFSYS_39"
"LBK 6, plintgebouw ","Overwerk lobby (status) - Overwerk lobby - 13-330K","Windheim_OS13_GRFSYS_5"
"LBK 6, plintgebouw ","Inblaastemperatuur - 13-330TE02","Windheim_OS13_GRFMET_13"
"LBK 6, plintgebouw ","Ber.inblaastemperatuur bedrijf - Temperatuurregeli","Windheim_OS13_GRFSYS_7"
"LBK 6, plintgebouw ","Druk toevoerkanaal - 13-330PT01","Windheim_OS13_GRFMET_7"
"LBK 6, plintgebouw ","Gew.druk toevoerkanaal - Toerenreg. toevoervent. -","Windheim_OS13_GRFSYS_19"
"LBK 6, plintgebouw ","Afsluiter koeler percentage - Afsluiter koeler - 1","Windheim_OS13_GRFSYS_15"
"LBK 6, plintgebouw ","Afsluiter verwarmer percentage - Afsluiter verwarm","Windheim_OS13_GRFSYS_12"
"LBK 6, plintgebouw ","Circ.pomp verwarmer (status) - Circ.pomp verwarmer","Windheim_OS13_GRFSYS_14"
